ctuid,ai_own_s0,ai_own_s1,ai_own_s2,ai_own_change_s1,ai_own_change_s2
2021S05075350046.00,0.02794450604252045,0.029336148708171115,0.028244267918373957,0.001391642665650665,0.00029976187585350686
2021S05075350047.02,0.019947503776505122,0.019947503776505122,0.030269159225988374,0.0,0.010321655449483252
2021S05075350047.03,0.04530863899485821,0.04530863899485821,0.046076490783434655,0.0,0.0007678517885764471
2021S05075350047.04,0.028146514519936258,0.028146514519936258,0.03246850165436198,0.0,0.00432198713442572
2021S05075350048.00,0.02296163026626379,0.02296163026626379,0.024855489232320692,0.0,0.0018938589660569029
2021S05075350049.00,0.024535612986128656,0.02696570663223092,0.024535612986128656,0.002430093646102263,0.0
2021S05075350050.01,0.05052441609538926,0.05705194013730116,0.05052441609538926,0.006527524041911897,0.0
2021S05075350050.03,0.04907122597225731,0.04907122597225731,0.04907122597225731,0.0,0.0
2021S05075350050.04,0.02222093251573915,0.025580863826329247,0.02222093251573915,0.0033599313105900953,0.0
2021S05075350051.00,0.018887792638378278,0.01889925532435072,0.019736379189987177,1.1462685972442321e-05,0.0008485865516088993
2021S05075350052.00,0.032096902522734325,0.03710068469588954,0.032096902522734325,0.005003782173155218,0.0
2021S05075350053.00,0.03110930552203481,0.031139110754778376,0.03110930552203481,2.9805232743564808e-05,0.0
2021S05075350054.00,0.019178781040370105,0.019178781040370105,0.019178781040370105,0.0,0.0
2021S05075350055.00,0.021480234765214514,0.021480234765214514,0.025343264840636495,0.0,0.003863030075421981
2021S05075350056.00,0.023208529516438668,0.024622015545682788,0.023516367116040944,0.0014134860292441195,0.00030783759960227586
2021S05075350057.00,0.019443315951271765,0.019443315951271765,0.019443315951271765,0.0,0.0
2021S05075350058.00,0.019674783998310717,0.02168097802082795,0.022541255372178094,0.002006194022517234,0.002866471373867377
2021S05075350059.00,0.02370232801678843,0.02370232801678843,0.02370232801678843,0.0,0.0
2021S05075350060.00,0.029627910020985537,0.029627910020985537,0.030059151644607564,0.0,0.0004312416236220279
2021S05075350061.00,0.012648838508959214,0.012925924957671144,0.012681151422128167,0.00027708644871192976,3.231291316895327e-05
2021S05075350062.01,0.029627910020985547,0.03162830877285001,0.030048897100518137,0.00200039875186446,0.00042098707953259
2021S05075350062.03,0.023109769816368718,0.024232641487418258,0.032742239561836604,0.0011228716710495398,0.009632469745467886
2021S05075350062.04,0.02793488659121494,0.05269736805479701,0.02793488659121494,0.024762481463582068,0.0
2021S05075350063.03,0.03433698181240047,0.03437960704234557,0.03433698181240047,4.262522994510215e-05,0.0
2021S05075350063.04,0.02757041626952821,0.048863841757291186,0.032151242902078575,0.021293425487762977,0.004580826632550366
2021S05075350063.05,0.02982542942112544,0.02982542942112544,0.0298991381231231,0.0,7.370870199766011e-05
2021S05075350063.06,0.03048051174820814,0.03202465422212868,0.03048051174820814,0.0015441424739205435,0.0
2021S05075350064.00,0.03924226492845768,0.04406138348015896,0.04148975586899639,0.004819118551701279,0.002247490940538714
2021S05075350065.01,0.03382994533646186,0.03382994533646186,0.03382994533646186,0.0,0.0
2021S05075350065.02,0.04166424846701091,0.04166424846701091,0.08159074360548361,0.0,0.039926495138472705
2021S05075350066.00,0.03817442252703907,0.03817442252703907,0.04933181094314747,0.0,0.011157388416108395
2021S05075350067.00,0.03256515972134186,0.03555978936160643,0.03400321397022938,0.002994629640264569,0.0014380542488875228
2021S05075350068.00,0.024936824267662826,0.028039883326300554,0.027633573485413655,0.0031030590586377284,0.0026967492177508295
2021S05075350069.00,0.033331398773608724,0.03493353476474512,0.033331398773608724,0.0016021359911363928,0.0
2021S05075350070.00,0.018081739203983826,0.021394074171185717,0.018793111314536218,0.0033123349672018916,0.0007113721105523919
2021S05075350071.00,0.025230017127245506,0.03286029078154992,0.025230017127245506,0.007630273654304416,0.0
2021S05075350072.01,0.022529556578457746,0.023392565033235092,0.022529556578457746,0.0008630084547773462,0.0
2021S05075350072.02,0.03568816434345985,0.03624533464243689,0.03568816434345985,0.0005571702989770402,0.0
2021S05075350073.00,0.029010661895548333,0.029010661895548333,0.03380165761189815,0.0,0.0047909957163498156
2021S05075350074.00,0.033331398773608724,0.03903300354593204,0.033564007671849694,0.005701604772323315,0.00023260889824096992
2021S05075350075.00,0.03296104989834641,0.03296104989834641,0.03296104989834641,0.0,0.0
2021S05075350076.00,0.03592384090044496,0.04676128040437078,0.03975249084669629,0.010837439503925822,0.0038286499462513307
2021S05075350077.00,0.03394864689904592,0.03674397660987923,0.035346163479263955,0.002795329710833308,0.0013975165802180348
2021S05075350078.00,0.02929122922529252,0.02929122922529252,0.029532499946407244,0.0,0.00024127072111472525
2021S05075350079.00,0.04666395828305222,0.06179575025537647,0.04666395828305222,0.015131791972324254,0.0
2021S05075350080.01,0.034442445399395685,0.034442445399395685,0.03667258331633193,0.0,0.0022301379169362423
2021S05075350080.02,0.03226601159819657,0.03226601159819657,0.03226601159819657,0.0,0.0
2021S05075350081.00,0.041479074029379746,0.04350867725931817,0.04155884598476603,0.0020296032299384204,7.977195538628329e-05
2021S05075350082.00,0.03549176721263892,0.0358795177957832,0.03596971234678898,0.00038775058314428207,0.00047794513415005957
2021S05075350083.00,0.023609740797972845,0.02776144173414735,0.023609740797972845,0.004151700936174504,0.0
2021S05075350084.00,0.027313229550596053,0.02769029093289057,0.027313229550596053,0.00037706138229451694,0.0
2021S05075350085.00,0.01876434301329084,0.021334853276980273,0.022380639103898647,0.002570510263689433,0.0036162960906078075
2021S05075350086.00,0.025739246830731186,0.0269885726637248,0.025739246830731186,0.001249325832993614,0.0
2021S05075350087.00,0.022369072065844094,0.024183046600509253,0.022369072065844094,0.0018139745346651588,0.0
2021S05075350088.00,0.033331398773608724,0.033331398773608724,0.033331398773608724,0.0,0.0
2021S05075350089.00,0.02592442126836234,0.026859646234563453,0.02592442126836234,0.000935224966201114,0.0
2021S05075350090.00,0.02814651451993628,0.030592649347673556,0.02814651451993628,0.002446134827737277,0.0
2021S05075350091.01,0.015184303885755087,0.0159847263137278,0.015209445963627886,0.0008004224279727114,2.5142077872799054e-05
2021S05075350091.02,0.013352051555509933,0.013352051555509933,0.013983043780991463,0.0,0.0006309922254815296
2021S05075350092.00,0.015554652761017406,0.01626230218516805,0.015554652761017406,0.0007076494241506446,0.0
2021S05075350093.00,0.026982560911968975,0.02808572226773859,0.026982560911968975,0.0011031613557696135,0.0
2021S05075350094.00,0.02563953751816057,0.02563953751816057,0.02563953751816057,0.0,0.0
2021S05075350095.00,0.027158917519236738,0.028733646212944247,0.027158917519236738,0.001574728693707509,0.0
2021S05075350096.01,0.03131131399945062,0.03131131399945062,0.03131131399945062,0.0,0.0
2021S05075350096.02,0.025183723517837722,0.025183723517837722,0.026220196357860794,0.0,0.001036472840023072
2021S05075350097.01,0.02499854908020654,0.02499854908020654,0.02499854908020654,0.0,0.0
2021S05075350097.03,0.03382519727395848,0.03382519727395848,0.03382519727395848,0.0,0.0
2021S05075350097.04,0.03415439627419167,0.0373137686567709,0.03415439627419167,0.003159372382579226,0.0
