ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350450.02,5350450.02,5350450.02,3175.0,1221.0,1145.0,83000.0,73500.0,0.3584070796460177,725.0,405.0,900000.0,13800.0,1280.0,1150.0,900000.0
2021S05075350450.03,5350450.03,5350450.03,8386.0,3038.0,2965.0,109000.0,94000.0,0.20741989881956155,2350.0,615.0,900000.0,18840.0,1760.0,1570.0,900000.0
2021S05075350450.05,5350450.05,5350450.05,6191.0,2142.0,2095.0,124000.0,105000.0,0.16945107398568018,1745.0,355.0,1000000.0,23520.0,2180.0,1960.0,1000000.0
2021S05075350450.06,5350450.06,5350450.06,8327.0,2502.0,2445.0,148000.0,124000.0,0.12704918032786885,2135.0,310.0,1500000.0,32160.0,2680.0,2680.0,1500000.0
2021S05075350451.01,5350451.01,5350451.01,2237.0,971.0,935.0,84000.0,74000.0,0.41711229946524064,550.0,390.0,800000.0,9420.0,1700.0,785.0,800000.0
2021S05075350451.02,5350451.02,5350451.02,5336.0,2625.0,2500.0,73500.0,64500.0,0.4721115537848606,1325.0,1185.0,830000.0,17040.0,1390.0,1420.0,830000.0
2021S05075350451.03,5350451.03,5350451.03,6810.0,2498.0,2410.0,105000.0,91000.0,0.17012448132780084,2000.0,410.0,850000.0,15840.0,1720.0,1320.0,850000.0
2021S05075350451.05,5350451.05,5350451.05,6081.0,2028.0,1980.0,127000.0,110000.0,0.23604060913705585,1505.0,465.0,1200000.0,16680.0,2340.0,1390.0,1200000.0
2021S05075350451.06,5350451.06,5350451.06,6701.0,2153.0,2110.0,128000.0,109000.0,0.1342925659472422,1810.0,280.0,900000.0,23760.0,2160.0,1980.0,900000.0
2021S05075350451.07,5350451.07,5350451.07,4927.0,1565.0,1535.0,132000.0,111000.0,0.09967845659163987,1400.0,155.0,900000.0,25200.0,2340.0,2100.0,900000.0
2021S05075350452.01,5350452.01,5350452.01,3174.0,1314.0,1270.0,90000.0,79000.0,0.34523809523809523,820.0,435.0,750000.0,16440.0,1470.0,1370.0,750000.0
2021S05075350452.02,5350452.02,5350452.02,5024.0,2046.0,1940.0,83000.0,74500.0,0.47692307692307695,1020.0,930.0,800000.0,17640.0,1840.0,1470.0,800000.0
