ctuid,near_subway_500m,near_rapid_500m,n_subway_stops_800m,n_rapid_stops_800m,n_all_stops_800m,dist_nearest_subway_m,dist_nearest_rapid_m,n_subway_stops_800m_norm,n_rapid_stops_800m_norm,n_all_stops_800m_norm,transit_indicator
2021S05075350009.00,0,1,0,28,50,2210.7021123003838,99.63472171539682,0.0,0.4827586206896552,0.5555555555555556,0.4827586206896552
2021S05075350014.00,1,1,11,38,72,240.14699404416746,121.58651939691718,0.7333333333333333,0.6551724137931034,0.8,0.6551724137931034
2021S05075350015.00,1,1,7,39,90,241.95476271150335,89.38111833809647,0.4666666666666667,0.6724137931034483,1.0,0.6724137931034483
2021S05075350016.00,0,1,0,56,88,1202.1357447400458,45.38397809694543,0.0,0.9655172413793104,0.9777777777777777,0.9655172413793104
2021S05075350018.00,0,1,0,20,29,2277.3199685557383,144.2202493845301,0.0,0.3448275862068966,0.32222222222222224,0.3448275862068966
2021S05075350019.00,0,1,0,16,49,2253.7519182058168,143.48964092593297,0.0,0.27586206896551724,0.5444444444444444,0.27586206896551724
2021S05075350020.00,0,1,0,14,33,2343.7855850067017,265.2659625899668,0.0,0.2413793103448276,0.36666666666666664,0.2413793103448276
2021S05075350021.00,0,1,0,10,17,2294.2598179731754,228.51783463567872,0.0,0.1724137931034483,0.18888888888888888,0.1724137931034483
2021S05075350022.00,0,1,0,17,28,1822.215055281443,375.2280402231582,0.0,0.29310344827586204,0.3111111111111111,0.29310344827586204
2021S05075350023.00,0,1,0,18,32,1583.8524780731686,438.66035593664327,0.0,0.3103448275862069,0.35555555555555557,0.3103448275862069
2021S05075350024.00,0,1,0,23,40,1714.1393430395533,316.59110730262756,0.0,0.39655172413793105,0.4444444444444444,0.39655172413793105
2021S05075350025.00,0,1,0,26,47,1606.7001339149333,248.5151586346098,0.0,0.4482758620689655,0.5222222222222223,0.4482758620689655
2021S05075350026.00,0,1,0,21,50,1824.6605263802926,246.55530058513187,0.0,0.3620689655172414,0.5555555555555556,0.3620689655172414
2021S05075350027.00,0,1,0,24,55,1692.3364519819834,380.4417508950784,0.0,0.41379310344827586,0.6111111111111112,0.41379310344827586
2021S05075350029.00,0,1,0,37,51,1700.4881592393815,115.19681905265082,0.0,0.6379310344827587,0.5666666666666667,0.6379310344827587
2021S05075350030.00,0,1,0,54,63,1682.785776555144,220.10794542944785,0.0,0.9310344827586207,0.7,0.9310344827586207
2021S05075350031.00,0,1,0,53,64,1461.0753038274033,133.9061387663953,0.0,0.9137931034482759,0.7111111111111111,0.9137931034482759
