ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value,population_2016,occupied_dwellings_2016,median_household_income_2016,renter_share_2016,home_price_2016,annual_rent_2016,units_2021,units_2016,delta_units,income_growth,rent_growth,home_price_growth,renter_share_change,dev_occurred
2021S05075350022.00,5350022.00,5350022.00,3847.0,1582.0,1480.0,149000.0,122000.0,0.2440677966101695,1120.0,360.0,1510000.0,18600.0,2500.0,1550.0,1510000.0,3883.0,1504.0,123221.0,0.25418060200668896,1000757.0,14484.0,1582.0,1504.0,78.0,0.20920946916515853,0.28417564208782103,0.5088577946494504,-0.010112805396519459,1
2021S05075350023.00,5350023.00,5350023.00,3374.0,1506.0,1405.0,134000.0,109000.0,0.23404255319148937,1080.0,330.0,1600000.0,18360.0,1620.0,1530.0,1600000.0,3208.0,1286.0,127317.0,0.23552123552123552,1103304.0,13716.0,1506.0,1286.0,220.0,0.05249102633583889,0.33858267716535434,0.45018961229180715,-0.001478682329746156,1
2021S05075350024.00,5350024.00,5350024.00,6891.0,3148.0,2940.0,115000.0,97000.0,0.39285714285714285,1785.0,1155.0,1400000.0,19200.0,2500.0,1600.0,1400000.0,6887.0,2963.0,95772.0,0.40809443507588533,899040.0,13752.0,3148.0,2963.0,185.0,0.20076849183477424,0.3961605584642234,0.5572165865812422,-0.015237292218742482,1
2021S05075350025.00,5350025.00,5350025.00,3553.0,1737.0,1630.0,84000.0,74500.0,0.48623853211009177,840.0,795.0,1200000.0,14400.0,2340.0,1200.0,1200000.0,3456.0,1610.0,68974.0,0.47335423197492166,750020.0,11412.0,1737.0,1610.0,127.0,0.21785020442485575,0.2618296529968454,0.5999573344710808,0.012884300135170113,1
2021S05075350026.00,5350026.00,5350026.00,6409.0,3027.0,2735.0,98000.0,84000.0,0.3820840950639854,1695.0,1045.0,1000000.0,15600.0,2200.0,1300.0,1000000.0,6486.0,2695.0,74170.0,0.40816326530612246,698264.0,12612.0,3027.0,2695.0,332.0,0.3212889308345692,0.2369172216936251,0.4321230938441621,-0.026079170242137073,1
2021S05075350027.00,5350027.00,5350027.00,4405.0,1889.0,1755.0,98000.0,86000.0,0.3898305084745763,1075.0,690.0,1200000.0,14520.0,1980.0,1210.0,1200000.0,4390.0,1724.0,70976.0,0.39080459770114945,699123.0,10188.0,1889.0,1724.0,165.0,0.3807484220018034,0.425206124852768,0.7164361635935308,-0.0009740892265731604,1
2021S05075350028.01,5350028.01,5350028.01,1290.0,714.0,655.0,118000.0,97000.0,0.37037037037037035,425.0,250.0,1000000.0,27120.0,2160.0,2260.0,1000000.0,1387.0,684.0,96154.0,0.33088235294117646,698625.0,18900.0,714.0,684.0,30.0,0.22719803648314163,0.43492063492063493,0.4313830738951512,0.03948801742919389,1
2021S05075350028.02,5350028.02,5350028.02,5868.0,2925.0,2765.0,109000.0,92000.0,0.36968576709796674,1700.0,1000.0,1000000.0,20400.0,2200.0,1700.0,1000000.0,6198.0,2836.0,84139.0,0.36283185840707965,698714.0,16152.0,2925.0,2836.0,89.0,0.2954753443706248,0.26300148588410105,0.43120074880423176,0.006853908690887089,1
2021S05075350029.00,5350029.00,5350029.00,6722.0,3110.0,2945.0,92000.0,80000.0,0.47855917667238423,1520.0,1395.0,1200000.0,12480.0,2080.0,1040.0,1200000.0,6987.0,2962.0,69120.0,0.4271186440677966,750107.0,11460.0,3110.0,2962.0,148.0,0.33101851851851855,0.08900523560209424,0.5997717658947324,0.05144053260458764,1
2021S05075350030.00,5350030.00,5350030.00,6926.0,3637.0,3265.0,76500.0,67000.0,0.625544267053701,1290.0,2155.0,735000.0,16680.0,2140.0,1390.0,735000.0,4529.0,2195.0,57109.0,0.6081081081081081,460777.0,15540.0,3637.0,2195.0,1442.0,0.3395436796301809,0.07335907335907337,0.5951317014521124,0.017436158945592917,1
